276.51,14.44 
276.29,15.19 
276.16,14.75 
276.25,12.82 
276.57,10.12 
276.82,8.38 
276.97,7.31 
276.94,6.57 
276.88,5.79 
276.85,5.22 
277.04,4.56 
277.34,5.09 
277.43,7.66 
277.16,11.70 
276.89,15.54 
276.96,12.26 
277.28,7.29 
277.34,5.88 
277.25,7.61 
276.93,17.88 
276.54,31.03 
276.11,33.88 
275.84,36.75 
275.97,35.70 
276.09,30.78 
276.00,27.35 
276.07,24.62 
275.97,25.02 
275.66,29.06 
275.81,25.04 
275.87,18.63 
275.91,13.84 
275.99,10.50 
276.13,9.50 
276.28,8.72 
276.49,7.72 
277.02,5.40 
277.47,4.13 
277.68,5.98 
277.68,9.26 
277.85,11.06 
277.87,19.70 
277.98,33.34 
277.95,39.59 
277.69,43.13 
277.31,46.77 
276.77,50.37 
276.68,52.35 
276.76,52.41 
