Game Number	A	B	C	TOTAL
1	18	12	13	43
2	17	8	20	45
3	32	13	13	58
4	35	18	11	64
5	9	17	17	43
6	15	12	18	45
7	21	8	7	36
8	6	6	5	17
9	7	4	2	13
10	4	4	1	9
11	2	2	5	9
12	17	3	8	28
13	9	3	3	15
14	6	17	10	33
15	8	7	0	15
				
TOTAL	206	134	133	473
	44%	28%	28%	
